EmployeeID,Grade,TotalWorkingYears,YearsAtCompany,PerformanceRating,AverageRating,YearsSinceLastPromotion,PreviousHikePercent
286571,1,1,1,1,1,0,0
46834,1,1,1,2,2,0,0
923166,1,1,1,3,3,0,0
113664,1,1,1,4,4,0,0
924023,1,1,1,5,5,0,0
674642,1,2,1,1,1,0,0
201984,1,2,1,2,2,0,0
930473,1,2,1,3,3,0,0
908738,1,2,1,4,4,0,0
660958,1,2,1,5,5,0,0
867292,1,2,2,1,2,0,0
228587,1,2,2,1,2,0,5
33300,1,2,2,1,2,0,10
184995,1,2,2,2,2,0,0
726440,1,2,2,2,2,0,5
84026,1,2,2,2,2,0,10
632374,1,2,2,2,3,0,0
531028,1,2,2,2,3,0,5
163353,1,2,2,2,3,0,10
699569,1,2,2,3,3,0,0
108088,1,2,2,3,3,0,5
293798,1,2,2,3,3,0,10
888702,1,2,2,4,3,0,0
463971,1,2,2,4,3,0,5
727648,1,2,2,4,3,0,10
35432,1,2,2,4,4,0,0
265930,1,2,2,4,4,0,5
751857,1,2,2,4,4,0,10
890455,1,2,2,5,4,0,0
478362,1,2,2,5,4,0,5
441824,1,2,2,5,4,0,10
408691,1,4,1,1,1,0,0
851228,1,4,1,2,2,0,0
38508,1,4,1,3,3,0,0
840449,1,4,1,4,4,0,0
425346,1,4,1,5,5,0,0
775496,1,4,2,1,2,0,0
20405,1,4,2,1,2,0,5
446561,1,4,2,1,2,0,10
758153,1,4,2,2,2,0,0
999822,1,4,2,2,2,0,5
34895,1,4,2,2,2,0,10
554908,1,4,2,2,3,0,0
508531,1,4,2,2,3,0,5
466565,1,4,2,2,3,0,10
460166,1,4,2,3,3,0,0
489358,1,4,2,3,3,0,5
229840,1,4,2,3,3,0,10
961739,1,4,2,4,3,0,0
923610,1,4,2,4,3,0,5
729890,1,4,2,4,3,0,10
203594,1,4,2,4,4,0,0
313024,1,4,2,4,4,0,5
644188,1,4,2,4,4,0,10
131956,1,4,2,5,4,0,0
184843,1,4,2,5,4,0,5
768246,1,4,2,5,4,0,10
121380,1,4,4,1,2,0,0
424815,1,4,4,1,2,0,5
71062,1,4,4,1,2,0,10
799710,1,4,4,1,2,2,0
642234,1,4,4,1,2,2,5
501408,1,4,4,1,2,2,10
306978,1,4,4,1,2,3,0
914625,1,4,4,1,2,3,5
84569,1,4,4,1,2,3,10
857042,1,4,4,1,3,0,0
837760,1,4,4,1,3,0,5
623061,1,4,4,1,3,0,10
65398,1,4,4,1,3,2,0
734746,1,4,4,1,3,2,5
331859,1,4,4,1,3,2,10
856161,1,4,4,1,3,3,0
831966,1,4,4,1,3,3,5
426125,1,4,4,1,3,3,10
952331,1,4,4,2,2,0,0
207610,1,4,4,2,2,0,5
45497,1,4,4,2,2,0,10
447873,1,4,4,2,2,2,0
3371,1,4,4,2,2,2,5
736154,1,4,4,2,2,2,10
445322,1,4,4,2,2,3,0
776119,1,4,4,2,2,3,5
302693,1,4,4,2,2,3,10
507651,1,4,4,2,3,0,0
834444,1,4,4,2,3,0,5
410523,1,4,4,2,3,0,10
440275,1,4,4,2,3,2,0
147403,1,4,4,2,3,2,5
463742,1,4,4,2,3,2,10
944156,1,4,4,2,3,3,0
942811,1,4,4,2,3,3,5
536420,1,4,4,2,3,3,10
225345,1,4,4,2,4,0,0
931652,1,4,4,2,4,0,5
356415,1,4,4,2,4,0,10
67623,1,4,4,2,4,2,0
80036,1,4,4,2,4,2,5
743052,1,4,4,2,4,2,10
182992,1,4,4,2,4,3,0
360054,1,4,4,2,4,3,5
498166,1,4,4,2,4,3,10
638095,1,4,4,3,2,0,0
542307,1,4,4,3,2,0,5
223613,1,4,4,3,2,0,10
201129,1,4,4,3,2,2,0
730262,1,4,4,3,2,2,5
360498,1,4,4,3,2,2,10
779187,1,4,4,3,2,3,0
37355,1,4,4,3,2,3,5
214186,1,4,4,3,2,3,10
179361,1,4,4,3,3,0,0
621741,1,4,4,3,3,0,5
103886,1,4,4,3,3,0,10
428317,1,4,4,3,3,2,0
677479,1,4,4,3,3,2,5
54945,1,4,4,3,3,2,10
803832,1,4,4,3,3,3,0
772271,1,4,4,3,3,3,5
160255,1,4,4,3,3,3,10
800330,1,4,4,3,4,0,0
21982,1,4,4,3,4,0,5
826819,1,4,4,3,4,0,10
904996,1,4,4,3,4,2,0
12314,1,4,4,3,4,2,5
19635,1,4,4,3,4,2,10
661785,1,4,4,3,4,3,0
579641,1,4,4,3,4,3,5
574263,1,4,4,3,4,3,10
645283,1,4,4,4,2,0,0
724909,1,4,4,4,2,0,5
649425,1,4,4,4,2,0,10
397918,1,4,4,4,2,2,0
825155,1,4,4,4,2,2,5
