EmployeeID,Grade,TotalWorkingYears,YearsAtCompany,PerformanceRating,AverageRating,YearsSinceLastPromotion,PreviousHikePercent,ExpFactor,Loyalty,Promotion,RatingFact,Score,Hike
286571,1,1,1,1,1,0,0,,,,,0.8,8.16
46834,1,1,1,2,2,0,0,,,,,2.4,8.48
923166,1,1,1,3,3,0,0,,,,,4.5,8.9
113664,1,1,1,4,4,0,0,,,,,7.2,9.44
924023,1,1,1,5,5,0,0,,,,,10.0,10.0
674642,1,2,1,1,1,0,0,0.3,0.5,0,0.8,1.6,8.32
201984,1,2,1,2,2,0,0,0.3,0.5,0,2.4,3.2,8.64
930473,1,2,1,3,3,0,0,0.3,0.5,0,4.5,5.3,9.06
908738,1,2,1,4,4,0,0,0.3,0.5,0,7.2,8.0,9.6
660958,1,2,1,5,5,0,0,0.3,0.5,0,10.0,10,10.0
867292,1,2,2,1,2,0,0,0.3,1.0,0,0.8,2.1,8.42
228587,1,2,2,1,2,0,5,0.3,1.0,0,0.8,1.1,8.22
33300,1,2,2,1,2,0,10,0.3,1.0,0,0.8,2.1,8.42
184995,1,2,2,2,2,0,0,0.3,1.0,0,2.4,3.7,8.74
726440,1,2,2,2,2,0,5,0.3,1.0,0,2.4,2.7,8.54
84026,1,2,2,2,2,0,10,0.3,1.0,0,2.4,3.7,8.74
632374,1,2,2,2,3,0,0,0.3,1.0,0,2.4,3.7,8.74
531028,1,2,2,2,3,0,5,0.3,1.0,0,2.4,2.7,8.54
163353,1,2,2,2,3,0,10,0.3,1.0,0,2.4,3.7,8.74
699569,1,2,2,3,3,0,0,0.3,1.0,0,4.5,5.8,9.16
108088,1,2,2,3,3,0,5,0.3,1.0,0,4.5,4.8,8.96
293798,1,2,2,3,3,0,10,0.3,1.0,0,4.5,5.8,9.16
888702,1,2,2,4,3,0,0,0.3,1.0,0,7.2,8.5,9.7
463971,1,2,2,4,3,0,5,0.3,1.0,0,7.2,7.5,9.5
727648,1,2,2,4,3,0,10,0.3,1.0,0,7.2,8.5,9.7
35432,1,2,2,4,4,0,0,0.3,1.0,0,7.2,8.5,9.7
265930,1,2,2,4,4,0,5,0.3,1.0,0,7.2,7.5,9.5
751857,1,2,2,4,4,0,10,0.3,1.0,0,7.2,8.5,9.7
890455,1,2,2,5,4,0,0,0.3,1.0,0,10.0,10,10.0
478362,1,2,2,5,4,0,5,0.3,1.0,0,10.0,9,9.8
441824,1,2,2,5,4,0,10,0.3,1.0,0,10.0,10,10.0
408691,1,4,1,1,1,0,0,0.3,0.25,0,0.8,1.35,8.27
851228,1,4,1,2,2,0,0,0.3,0.25,0,2.4,2.95,8.59
38508,1,4,1,3,3,0,0,0.3,0.25,0,4.5,5.05,9.01
840449,1,4,1,4,4,0,0,0.3,0.25,0,7.2,7.75,9.55
425346,1,4,1,5,5,0,0,0.3,0.25,0,10.0,10,10.0
775496,1,4,2,1,2,0,0,0.3,0.5,0,0.8,1.6,8.32
20405,1,4,2,1,2,0,5,0.3,0.5,0,0.8,0.6,8.12
446561,1,4,2,1,2,0,10,0.3,0.5,0,0.8,1.6,8.32
758153,1,4,2,2,2,0,0,0.3,0.5,0,2.4,3.2,8.64
999822,1,4,2,2,2,0,5,0.3,0.5,0,2.4,2.2,8.44
